# SAT(MJD)        RM     RMerr_minus RMerr_plus
59310.3529042508 -559.28 2.45 2.47
59323.3050115764 -430.87 0.76 0.70
59308.3423808710 -655.89 0.35 0.33
59323.3283811580 -412.28 1.10 1.12
59318.3701516807 -490.04 0.98 0.76
59322.3704349535 -434.63 0.27 0.27
59321.2574772605 -434.33 0.65 0.67
59319.3703716121 -455.01 2.60 2.54
59318.3897271061 -576.81 0.63 0.68
59309.4093615099 -623.33 0.67 0.67
59319.3333675465 -498.77 0.21 0.22
59322.3122594628 -426.70 0.48 0.44
59323.3498016601 -398.06 0.61 0.61
59316.3851831688 -684.66 0.76 0.77
59319.3447027017 -462.33 3.48 2.07
59316.3407004885 -722.77 0.86 0.83
59320.2813398572 -479.11 1.01 1.42
59321.2303075238 -455.74 0.19 0.19
59321.2599226675 -440.82 1.06 1.12
59323.3050120347 -430.97 0.28 0.31
59324.3603798376 -422.75 1.07 1.03
59308.3688153919 -659.58 1.29 1.30
59322.3127898271 -441.20 0.41 0.42
59310.3544182004 -601.85 2.93 2.33
59321.2304078334 -514.36 1.30 1.30
59319.3333679847 -452.72 0.13 0.13
59323.3747382421 -391.64 0.68 0.67
59320.2855320997 -523.58 0.41 0.42
59316.3407648969 -678.85 0.18 0.19
59324.4062417583 -401.38 1.91 1.30
59318.3917662865 -625.75 2.69 2.37
59324.3622282463 -379.09 0.91 0.92
59318.3543702842 -574.35 2.06 1.83
59323.3533255751 -455.18 0.15 0.27
59324.3341362335 -447.04 3.45 2.92
59323.3055465675 -446.70 1.74 2.25
59316.3929845072 -734.56 2.56 2.62
59319.3485712765 -502.12 0.32 0.34
59319.3739260249 -476.20 0.49 0.48
59316.3502049125 -682.10 1.28 0.12
59323.3291111393 -416.65 0.75 0.83
59324.3740121209 -437.90 0.69 0.74
59324.4122789883 -404.26 0.22 0.23
59320.2890618915 -536.41 0.56 0.53
59318.3933223479 -604.29 0.55 0.55
59320.2550854229 -489.20 1.67 1.54
59319.3340618991 -454.10 0.40 0.40
59323.3061118606 -456.06 1.72 1.85
59319.3558474951 -450.39 0.56 0.60
59321.2379797982 -467.33 0.64 0.65
59319.3771346847 -450.20 0.17 0.17
59324.4191067290 -407.10 1.69 1.67
59324.3370653055 -459.81 0.37 0.36
59320.2899300607 -493.55 4.49 3.08
59318.3945434231 -587.12 4.30 4.00
59319.3373862471 -486.25 2.81 2.70
59318.3557792002 -551.02 0.58 0.30
59325.2885518452 -534.00 0.33 0.32
59321.2695615136 -437.07 1.97 1.62
59319.3562069210 -458.66 0.82 0.86
59316.3411102288 -734.56 0.27 0.27
59323.3585568710 -447.95 0.94 0.57
59316.3937273675 -697.51 0.55 0.58
59320.2564303875 -517.36 0.74 0.75
59322.3182214483 -443.16 1.01 1.02
59324.4205411948 -376.63 1.30 1.31
59321.2379805407 -460.82 1.44 1.49
59319.3782318452 -446.64 0.67 0.67
59316.3504017835 -692.80 0.59 0.57
59324.3378879662 -370.41 0.23 0.23
59323.3340996974 -455.69 0.60 0.56
59318.3559059400 -599.46 0.74 0.72
59321.2806312018 -457.12 0.17 0.17
59323.3067148151 -453.66 0.48 0.47
59322.3217804028 -448.53 1.21 1.09
59322.3498797153 -432.95 0.62 0.58
59318.3718422576 -507.52 0.21 0.20
59316.3411112677 -709.83 1.55 1.54
59324.3392871461 -414.77 1.13 1.26
59319.3589204125 -456.92 1.22 1.21
59320.2574683206 -522.34 1.68 1.53
59324.3782529315 -400.51 1.66 1.58
59318.3562419767 -483.61 1.55 1.55
59320.2916135399 -521.64 0.63 0.69
59316.3507390178 -721.04 1.03 1.09
59319.3142691343 -479.15 0.09 0.35
59319.3782321568 -447.83 1.22 1.28
59325.3314790597 -530.49 1.24 1.24
59318.3756250898 -559.68 1.35 1.42
59323.3611781819 -455.24 1.07 1.01
59324.3399546942 -445.24 1.23 1.33
59322.3741276607 -445.44 0.66 0.66
59316.3425122901 -699.56 0.21 0.22
59319.3805787097 -468.69 1.23 1.21
59320.2942425977 -526.81 0.27 0.30
59319.3625527450 -474.10 1.94 1.75
59324.3786095993 -404.81 0.56 0.61
59323.3110500105 -456.66 0.44 0.45
59321.2403029403 -461.53 0.33 0.32
59322.3778142405 -439.02 0.31 0.62
59324.3515873966 -447.25 1.01 1.03
59319.3165257028 -470.06 0.76 0.77
59320.2628199661 -519.80 0.42 0.46
59321.2853503114 -441.29 0.37 0.53
59318.3565365939 -487.26 1.31 1.30
59322.3252007150 -438.34 1.18 1.96
59318.3756981424 -512.18 0.72 0.72
59316.3527914815 -699.10 1.09 0.94
59325.2531184027 -536.53 0.44 0.46
59319.3627370204 -439.75 1.69 1.63
59324.3881509458 -459.28 1.47 1.58
59320.2943809983 -527.53 0.88 0.90
59322.3778146776 -439.43 1.16 1.21
59324.3515877019 -447.11 0.68 0.65
59322.3032538338 -444.67 0.26 0.26
59320.2637088022 -518.84 0.26 0.26
59319.3635736313 -427.02 2.15 1.94
59316.3533020362 -745.94 0.77 0.89
59325.3347027706 -548.07 0.61 0.60
59316.3977476737 -695.80 0.37 0.39
59321.2403034686 -460.61 1.31 1.25
59318.3593224170 -494.67 0.55 0.56
59319.3814750286 -451.90 1.16 1.13
59319.3208808657 -421.72 1.40 1.46
59319.3652140599 -401.07 2.16 1.90
59316.3606285971 -709.69 2.17 2.15
59316.3449764899 -694.85 0.57 0.56
59325.3831021721 -568.15 2.85 2.78
59321.2405391624 -441.27 0.75 0.79
59323.3416488483 -436.66 0.27 0.26
59324.3954636629 -385.86 0.48 0.46
59320.2955271727 -512.65 1.16 1.20
59322.3257027732 -435.30 0.14 0.14
59322.3535537174 -459.05 0.41 0.39
59322.3800073445 -450.36 0.68 0.67
59320.2709756151 -495.03 0.57 1.54
59323.3155406834 -430.33 0.27 0.26
59322.3072868600 -439.03 0.16 0.16
59323.3442238391 -447.62 1.62 1.06
59322.3267227779 -417.31 1.94 2.02
59324.3970678864 -402.56 0.98 0.90
59326.2822735938 -619.01 2.72 4.50
59319.3823212096 -448.39 0.45 0.62
59320.3000174464 -519.27 1.14 1.21
59316.3984495949 -671.20 0.29 0.29
59316.3650068998 -730.61 1.35 1.32
59323.3442597485 -447.74 1.67 1.77
59318.3777422295 -506.92 0.39 0.41
59326.3413005102 -435.58 0.51 0.48
59322.3084917173 -417.55 1.91 1.94
59323.3180986462 -415.16 0.63 0.62
59324.3549947664 -469.22 0.58 0.60
59325.2658474289 -508.70 1.01 1.05
59326.3711819412 -434.88 0.36 0.37
59327.3530158515 -395.86 1.28 1.39
59323.3018823289 -449.26 0.42 2.93
59323.3481269304 -418.68 1.49 1.63
59321.2481646451 -435.48 0.27 0.26
59322.3564023374 -455.09 1.07 1.02
59318.3793668389 -528.88 0.28 0.28
59324.3603489006 -435.10 0.92 0.91
59326.2857712274 -562.46 1.75 1.70
59326.3732881536 -538.28 0.72 0.76
59326.3427344636 -553.10 2.19 0.13
59316.3475916079 -695.90 1.36 1.24
59328.3542857070 -396.56 0.65 0.70
59322.3283445983 -448.94 0.74 0.77
59326.2272316021 -538.14 0.26 0.24
59328.2680667166 -491.90 0.63 0.65
59319.3856336930 -465.86 0.94 1.02
59323.3022391107 -412.04 0.50 0.46
59316.4004683532 -717.06 1.63 1.73
59326.3438811851 -530.91 2.85 3.18
59328.3982291540 -522.75 0.66 0.74
59316.3477997369 -713.27 2.32 2.25
59323.3639510485 -455.24 2.60 2.64
59322.3288461023 -446.18 1.20 1.21
59325.3768028858 -512.25 4.39 3.91
59323.3197469442 -460.06 2.10 3.12
59325.2671220920 -530.91 0.50 0.48
59330.2885680930 -628.84 1.12 1.11
59329.4350692878 -589.66 0.94 0.86
59327.2195660255 -385.39 0.28 0.29
59328.2738918448 -472.44 0.80 0.77
59330.3355840475 -642.24 0.42 0.41
59319.3882353389 -418.75 0.32 0.30
59326.3441781429 -551.86 2.43 2.30
59328.4007987162 -553.83 3.31 3.24
59331.2767675750 -667.44 0.54 0.51
59322.3372697136 -442.06 0.95 0.91
59330.2894471802 -606.73 1.67 1.69
59329.3869736504 -576.43 0.58 0.55
59328.3549582542 -529.34 0.87 0.93
59329.4358968431 -558.40 0.61 0.58
59316.3477999607 -712.56 0.24 0.24
59326.2281550502 -605.15 1.38 1.25
59331.3567402221 -688.04 0.29 0.30
59325.3784356375 -520.46 1.01 1.01
59327.2367936996 -373.65 1.08 1.12
59327.2789616859 -401.05 0.92 0.95
59326.3122459611 -436.90 0.84 0.91
59328.2875217256 -507.76 0.40 0.41
59326.3483340386 -546.55 0.69 0.73
59323.3048627455 -429.85 1.32 1.36
59323.3678826322 -424.62 1.20 1.22
59329.3884270074 -579.17 0.34 0.34
59328.3575320965 -514.36 0.32 0.33
59330.2905594101 -616.69 0.23 0.22
59331.3626357666 -628.85 0.39 0.38
59327.2800780965 -402.47 4.30 2.59
59328.3104314070 -493.07 1.76 1.54
59334.2890473381 -785.27 2.36 2.11
59325.3784533898 -540.38 0.40 0.37
59327.2616648718 -399.25 0.40 0.38
59329.4394630962 -584.75 2.22 1.96
59328.4031633206 -467.38 0.50 0.45
59326.3495122598 -550.42 1.07 1.15
59323.3049111369 -445.82 0.96 1.10
59331.2780346062 -614.55 1.18 1.33
59326.3155001544 -551.37 1.08 1.01
59327.2624881481 -392.40 1.00 1.02
59327.2803478553 -403.69 0.39 0.39
59336.3250668199 -877.45 0.29 0.31
59337.2261270530 -764.51 0.76 1.14
59330.2917978816 -617.39 0.71 0.72
59326.2332491650 -674.48 0.77 0.81
59323.3694571872 -428.80 0.92 0.93
59334.2435055159 -812.37 0.99 0.93
59326.3549272127 -523.22 2.03 2.09
59331.2795068199 -696.84 3.81 2.83
59329.3917984686 -559.88 0.32 0.32
59331.3634193142 -712.60 0.58 0.58
59330.3405362521 -652.81 3.70 3.73
59334.3157640506 -829.61 1.33 1.42
59328.3128121089 -485.87 0.80 0.80
59337.3445964810 -769.35 2.19 1.96
59330.2946096541 -616.67 0.73 0.76
59337.2261273071 -771.92 0.65 0.70
59336.2238767496 -870.88 2.18 2.12
59326.2336039408 -446.71 2.61 2.68
59329.4394636621 -558.20 0.58 0.54
59327.3110144428 -365.12 2.89 1.45
59334.2715528387 -773.62 1.03 1.02
59336.3256057997 -809.50 0.52 0.53
59329.3942990833 -579.51 0.17 0.17
59329.4409875867 -564.33 1.47 1.47
59326.2388620973 -526.20 2.62 3.20
59328.3166338184 -429.29 0.72 0.75
59326.3175241788 -555.80 1.32 1.31
59327.3117202490 -377.57 1.03 1.10
59337.2956340192 -740.67 0.19 0.18
59336.2289318404 -875.31 0.24 0.25
59337.3452810742 -807.97 2.39 2.23
59330.2495521078 -640.15 2.76 7.52
59331.3979856290 -644.03 1.15 1.10
59326.3555649955 -543.98 2.24 1.84
59328.3609006068 -511.18 0.99 1.08
59330.3018370695 -600.58 0.41 0.38
59328.3209008590 -488.62 0.27 0.26
59337.2261279119 -770.07 1.10 1.21
59339.2631223504 -500.76 0.41 0.39
59334.3168674904 -783.39 1.88 3.18
59337.2978932556 -759.55 0.57 0.55
59327.3155856051 -417.22 0.38 0.38
59337.3485369570 -760.89 1.67 1.78
59328.4103098709 -500.06 0.42 0.39
59330.2514016748 -584.83 2.10 2.57
59331.3996632523 -682.26 1.52 1.59
59326.3578963089 -434.63 0.52 4.49
59328.3245890865 -464.48 1.38 1.33
59328.3662517585 -482.65 0.41 0.41
59336.3256937295 -882.20 0.52 0.50
59327.3163796897 -404.71 1.19 1.27
59330.3276128161 -641.93 0.65 0.69
59329.3975558754 -574.46 0.48 0.49
59328.4122219096 -492.68 0.59 0.62
59336.2340359683 -811.05 1.55 1.51
59330.2524176954 -566.31 0.57 0.54
59339.2726004444 -637.42 0.31 0.33
59334.2777027400 -866.00 2.09 2.57
59334.3185289928 -795.66 1.55 1.67
59328.3259398124 -468.10 1.66 1.59
59337.3498112361 -765.53 1.49 1.48
59326.2713912422 -501.07 1.01 1.03
59330.3433188333 -606.66 4.00 3.90
59331.3102025464 -687.70 1.51 1.44
59326.3178663767 -549.27 2.80 0.57
59337.2988807107 -762.92 0.95 0.87
59329.3839625721 -557.98 3.22 3.11
59334.2808126507 -806.23 3.08 2.12
59329.3992990032 -569.88 0.42 0.43
59334.3200838083 -807.61 1.94 1.84
59327.3206536369 -366.19 0.82 0.79
59326.3655045096 -460.91 0.72 0.65
59327.2761275648 -404.08 0.68 0.70
59336.3613429650 -888.13 2.92 2.60
59328.3279079328 -487.02 0.64 0.64
59328.3666685078 -515.99 1.42 1.44
59331.4087308069 -651.82 1.69 1.71
59330.3288680908 -619.04 1.00 0.96
59331.3105344987 -639.91 0.18 0.19
59329.3839638886 -558.91 0.33 0.31
59334.2808150248 -797.72 1.26 1.09
59330.2607745267 -654.38 2.26 2.27
59330.3441239083 -605.90 0.61 0.57
59327.3476640320 -407.42 0.29 0.28
59327.2761283180 -394.01 0.15 0.16
59328.3670035084 -473.82 0.42 0.40
59329.4086830203 -608.70 0.65 0.64
59331.3172268415 -657.45 1.58 1.58
59336.2525976328 -797.39 0.85 0.84
59330.3775071037 -628.13 1.90 1.93
59326.2734172532 -615.19 3.19 3.28
59330.3319310942 -642.01 0.62 0.66
59340.2383314877 -499.65 0.93 1.01
59336.3632303358 -872.63 0.30 0.31
59326.3347524645 -542.71 0.84 0.78
59329.3856316055 -555.68 0.45 0.44
59337.3007825931 -810.10 1.62 1.52
59334.2307248436 -803.13 1.08 1.17
59327.3483112259 -414.91 0.63 0.63
59328.3711958471 -491.27 1.41 1.29
59329.4168192290 -558.73 1.12 1.10
59328.3297526029 -485.31 0.48 0.46
59340.2647002410 -408.70 1.01 1.06
59336.3708737404 -874.31 2.12 2.15
59329.3865525554 -558.40 1.22 1.20
59339.2797171568 -439.38 2.16 2.17
59334.3223373194 -790.18 0.83 0.76
59334.3284394390 -798.94 0.47 0.42
59330.2626707154 -592.92 1.01 0.97
59336.2541646479 -881.45 1.26 1.17
59328.3940521323 -516.14 1.08 1.13
59334.2821569853 -830.37 0.42 0.42
59330.3792061744 -611.99 1.36 1.27
59329.4186022566 -589.52 0.35 0.37
59337.3539318547 -742.78 0.59 0.64
